desc,url,github,jobs,languages
"push technology",https://www.pushtechnology.com/category/development,pushtechnology,https://www.pushtechnology.com/about/careers/," c clojure html java"
qubit,https://medium.com/qubit-engineering,qubitproducts,http://www.qubit.com/careers,"css go java javascript php"
quizlet,https://quizlet.com/blog/engineering,quizlet,https://quizlet.com/jobs,"c++ coffeescript java javascript objective-c php ruby"
quora,http://engineering.quora.com/,quora,https://www.quora.com/careers,"c++ javascript"
realestate,http://rea.tech/,realestate-com-au,http://careers.realestate.com.au/,"go java javascript objective-c ruby scala shell"
remind,http://engineering.remind.com/,remind101,https://www.remind.com/careers,"go java javascript python ruby"
renttherunway,http://dresscode.renttherunway.com/,renttherunway,https://boards.greenhouse.io/renttherunway,"clojure java objective-c python ruby swift"
reverb,https://product.reverb.com/,reverbdotcom,https://product.reverb.com/work-at-reverb/,"coffeescript go javascript php python ruby shell"
richrelevance,http://engineering.richrelevance.com/,richrelevance,https://www.richrelevance.com/company/careers/," coffeescript java javascript objective-c scala"
rightscale,http://eng.rightscale.com/,rightscale,http://rightscale.theresumator.com/,"go javascript ruby shell typescript"
riotgames,http://engineering.riotgames.com/,riotgames,http://www.riotgames.com/careers/?offices=&depts=1398," java ruby"
risingstack,https://blog.risingstack.com/,risingstack,https://risingstack.com/," javascript"
roomkey,https://techblog.roomkey.com/,roomkey,https://stackoverflow.com/jobs/companies/room-key?c=7537KTtDFgNLexna,"clojure html javascript"
salsify,http://blog.salsify.com/engineering,salsify,http://www.salsify.com/careers#engineering,"javascript php ruby"
scrunch,https://tech.scrunch.com/blog/,scrunchenterprises,https://scrunch.com/careers/," javascript python shell"
segment,https://segment.com/blog/categories/engineering/,segmentio,https://segment.com/jobs,"go hcl javascript objective-c"
semantics3,https://engineering.semantics3.com/,semantics3,https://www.semantics3.com/jobs," asp c# java javascript objective-c php perl python ruby"
sequra,https://engineering.sequra.es/,sequra,https://www.sequra.es/trabaja-con-nosotros.html,"html php ruby"
"shape security",http://engineering.shapesecurity.com/,shapesecurity,https://shapesecurity.com/jobs/,"java javascript"
sharethis,http://engineering.sharethis.com/,sharethis,http://www.sharethis.com/hiring/,"java perl python"
sharethrough,https://engineering.sharethrough.com/,sharethrough,https://www.sharethrough.com/careers/openings/?category=Engineering,"java javascript objective-c ruby scala shell viml"
"shop spring",http://engineering.shopspring.com/,shopspring,http://engineering.shopspring.com/,"css go"
shutl,http://techblog.shutl.com/,shutl,https://shutl.com/uk/jobs,"ruby sqlpl swift"
shutterstock,http://tech.shutterstock.com/,shutterstock,http://www.shutterstock.com/jobs," javascript php"
shyp,http://shyp.github.io/,shyp,https://jobs.lever.co/shyp," go javascript"
simondata,http://engineering.simondata.com/,radico,https://simondata.workable.com/,"java python scala"
simple,https://www.simple.com/engineering,simpleFinance,https://www.simple.com/careers,"go java javascript python ruby scala"
skroutz,http://engineering.skroutz.gr/,skroutz,https://skroutz.workable.com/," clojure coffeescript elixir html java javascript php ruby"
skybettingandgaming,http://engineering.skybettingandgaming.com/,skybet,http://skybetcareers.com/," css coffeescript html javascript php ruby shell"
slack,https://medium.com/m/global-identity?redirectUrl=https%3A%2F%2Fslack.engineering%2F,slackhq,https://slack.com/jobs/dept/engineering," coffeescript java javascript objective-c python ruby"
songkick,http://devblog.songkick.com/,songkick,https://www.songkick.com/jobs#job-openings,"go groovy java javascript ruby"
soundcloud,https://developers.soundcloud.com/blog/,soundcloud,https://soundcloud.com/jobs,"cmake clojure go java javascript python ruby scala shell"
speedledger,http://engineering.speedledger.com/,speedledger,https://www.speedledger.se/jobb/,"java javascript scala"
spotify,https://labs.spotify.com/,spotify,https://twitter.com/spotifyjobs," c++ go java javascript objective-c python raml scala shell"
spreedly,http://engineering.spreedly.com/,spreedly,https://spreedly.com/jobs,"css groff html perl ruby swift"
"square inc",https://corner.squareup.com/,square,https://squareup.com/careers,"java javascript kotlin objective-c shell swift"
squarespace,http://engineering.squarespace.com/,squarespace,https://www.squarespace.com/about/careers,"css clojure groff groovy java javascript python shell"
"staples sparx",http://www.staples-sparx.com/blog/,staples-sparx,http://www.staples-sparx.com/jobs/,"c++ clojure html java shell"
stitchfix,http://multithreaded.stitchfix.com/,stitchfix,http://multithreaded.stitchfix.com/careers/,"java javascript jupyter notebook python ruby scala shell"
stormpath,http://stormpath.com/blog,stormpath,https://careers.jobscore.com/jobs2/stormpath,"html java javascript perl python swift"
strava,http://labs.strava.com,strava,http://blog.strava.com/careers/," c++ css go javascript objective-c protocol buffer shell"
stripe,https://stripe.com/blog,stripe,https://stripe.com/jobs,"coffeescript go java objective-c php python ruby scala"
stylefruits,http://blog.stylefruits.tech/index.html,stylefruits,http://www.stylefruits.co.uk/specials/persis,"clojure erlang html"
stylight,http://tech.stylight.com/,stylight,http://jobs.stylight.com/," c++ html objective-c python swift"
tapad,https://medium.com/@tapadeng,tapad,https://www.tapad.com/careers/openings,"elixir javascript scala typescript"
tapjoy,http://eng.tapjoy.com/blog/,tapjoy,http://home.tapjoy.com/info/about-tapjoy/careers/postings/?department=engineering,"c go php ruby shell"
target,https://target.github.io/,target,https://corporate.target.com/careers/career-areas/technology?ref=sr_shorturl_digitalcareers,"groovy html java javascript objective-c powershell ruby shell"
tasktop,http://www.tasktop.com/categories/engineering,tasktop,http://www.tasktop.com/careers/job-postings," java javascript ruby"
"teachers pay teachers",http://engineering.teacherspayteachers.com/,teacherspayteachers,https://boards.greenhouse.io/teacherspayteachers/,"css javascript livescript objective-c php python ruby swift"
teamwork,http://engineroom.teamwork.com/,teamwork,https://www.teamwork.com/jobs/#technical," coffeescript go javascript shell"
teespring,http://teespring.engineering/,teespring,https://teespring.com/jobs,"go html ruby shell swift"
tellapart,https://www.tellapart.com/engineering-blog/,tellapart,https://www.tellapart.com/careers/,"c c++ java python ruby scala shell"
"the working group",http://blog.twg.ca/category/technical/,twg,https://twg.io/careers," c css javascript php ruby"
thetrainline,https://engineering.thetrainline.com/,trainline,http://www.thetrainlinejobs.com/job,javascript
thumbtack,http://www.thumbtack.com/engineering/,thumbtack,https://www.thumbtack.com/jobs," c css go haskell java javascript php shell"
ticketmaster,https://tech.ticketmaster.com/,ticketmaster,http://www.ticketmaster.co.uk/careers,"go html java javascript objective-c perl powershell python shell"
tilt,http://engineering.tilt.com/,crowdtilt,https://www.tilt.com/learn/jobs," html javascript perl ruby"
timehop,http://tales.timehop.com/,timehop,http://timehop.com/joinus," go java objective-c ruby shell"
trackmaven,http://engineroom.trackmaven.com/,trackmaven,https://boards.greenhouse.io/trackmaven," css javascript python shell"
transferwise,http://tech.transferwise.com/,transferwise,https://transferwise.com/jobs/,"css java javascript objective-c php swift"
treehouse,https://medium.com/treehouse-engineering,treehouse,https://teamtreehouse.com/jobs," css java kotlin ruby"
trello,http://tech.trello.com/,trello,https://trello.com/jobs," c coffeescript html java javascript"
trivago,http://tech.trivago.com/,trivago,http://company.trivago.com/careers/technology/," css go java javascript php python ruby swift"
truecar,https://www.drivenbycode.com/,truecar,http://careers.true.com," c++ go hcl javascript jupyter notebook puppet python ruby scala shell"
trulia,http://www.trulia.com/blog/tech/,trulia,http://www.trulia.com/about/careers,"css html java javascript python r ruby"
tubemogul,https://www.tubemogul.com/engineering/,tubemogul,https://www.tubemogul.com/opportunities/,"html java javascript ruby"
tumblbug,https://medium.com/tumblbug-engineering,tumblbug,https://github.com/tumblbug/careers," css javascript ruby"
tumblr,https://engineering.tumblr.com/#_=_,tumblr,https://www.tumblr.com/jobs," html java javascript objective-c php python ruby scala swift"
twilio,https://www.twilio.com/engineering,twilio,https://www.twilio.com/company/jobs,"c# coffeescript erlang java javascript objective-c php python ruby swift"
"twitch tv",https://medium.com/twitch-engineering,twitchtv,http://engineering.twitch.tv/,javascript
twitter,https://engineering.twitter.com/,twitter,https://careers.twitter.com/careers,"c c++ html java javascript objective-c scala"
uber,https://eng.uber.com/,uber,https://www.uber.com/careers/list/?city=all&country=all&keywords=&subteam=all&team=engineering,"c go java javascript python swift"
underdog,http://engineering.underdog.io/,underdogio,https://underdog.io/candidates/apply,"css java javascript python ruby"
upday,https://upday.github.io/blog/,upday,http://upday.com/en/jobs," css erlang java javascript ruby"
usertesting,http://engineering.usertesting.com/,usertesting,https://careers.smartrecruiters.com/UserTesting/," elixir html java javascript objective-c ruby shell"
vena,https://engineering.vena.io/,venasolutions,http://vena.jazz.co/apply/," java"
venmo,https://engineering.venmo.com/,venmo,https://venmo.com/jobs," java javascript objective-c python ruby swift"
viki,http://engineering.viki.com/blog/,viki-org,https://www.viki.com/jobs,"c# go javascript objective-c python ruby"
vine,http://engineering.vine.co/,vine,https://vine.co/jobs,"c java objective-c python ruby"
vinted,http://engineering.vinted.com/,vinted,http://engineering.vinted.com/join/," c java objective-c ruby"
voxer,http://engineering.voxer.com/,voxer,http://voxer.com/careers/,"c java javascript objective-c php ruby shell"
"walmart labs",https://medium.com/walmartlabs,walmartlabs,https://jobs.walmart.com/us/jobs?page=1&tags=ecommerce," clojure javascript"
"washington post",https://developer.washingtonpost.com/pb/blog/,washingtonpost,https://sub.washingtonpost.com/hosted/56549408208965c92352902b," java javascript php python shell swift"
wattpad,http://engineering.wattpad.com/,wattpad,http://www.wattpad.com/life/?jobs,"c++ go objective-c python ruby shell"
wayfair,http://engineering.wayfair.com/,wayfair,http://www.wayfair.com/careers#dept=engineering,"c c# c++ coffeescript java javascript php perl python ruby shell"
wealthfront,http://eng.wealthfront.com/,wealthfront,https://www.wealthfront.com/engineering/careers," java javascript"
webengage,http://engineering.webengage.com/,webengage,http://blog.webengage.com/category/hiring/," css javascript ruby shell"
wepay,https://wecode.wepay.com/,wepay,https://go.wepay.com/careers,"css java javascript objective-c php python ruby"
wework,https://engineering.wework.com/,wework,https://www.wework.com/careers,"css coffeescript html javascript ruby shell"
widen,http://engineering.widen.com/,widen,http://www.widen.com/careers," go groovy java javascript makefile"
wingify,http://engineering.wingify.com/,wingify,http://wingify.com/careers," c java javascript lua python"
wix,http://blog.wix.engineering/,wix,http://www.wix.com/jobs/home,"java javascript objective-c scala shell typescript"
wolox,https://medium.com/@WoloxEngineering/,wolox,http://www.wolox.com.ar/#section-contact," java javascript objective-c ruby shell swift"
xero,https://developer.xero.com/engineering-blog/,xeroapi,https://www.xero.com/uk/about/careers/," c# coffeescript coldfusion java javascript php"
yahoo,https://yahooeng.tumblr.com/#_=_,yahoo,https://careers.yahoo.com/gb/,"c c++ html java javascript objective-c ruby scala"
yammer,http://eng.yammer.com/,yammer,https://careers.microsoft.com/yammer,"java javascript objective-c powershell python ruby"
yelp,http://engineeringblog.yelp.com/,yelp,https://www.yelp.com/careers,"c++ go java javascript python"
youtube,https://youtube-eng.googleblog.com/,youtube,https://www.youtube.com/yt/jobs/,"c++"
zalando,https://tech.zalando.de/blog,zalando,https://tech.zalando.de/jobs/tech/," erlang go java javascript python scala"
zeemee,https://medium.com/m/global-identity?redirectUrl=https%3A%2F%2Fzeemee.engineering%2F,zeemee,https://www.zeemee.com/we-want-you#engineering,"java javascript ruby"
zoetrope,https://zoetrope.io/tech-blog,zoetropelabs,https://twitter.com/ZoetropeLabs," c++ javascript makefile php python"
zomato,https://medium.com/m/global-identity?redirectUrl=https%3A%2F%2Fengineering.zomato.com%2F,zomato,https://medium.com/m/global-identity?redirectUrl=https%3A%2F%2Fengineering.zomato.com%2F," java javascript objective-c"
zoosk,https://about.zoosk.com/en/engineering-blog/,zoosk,https://about.zoosk.com/en/careers/,"c# php perl python"
zulily,https://engineering.zulily.com/,zulily,http://www.zulily.co.uk/careers?dept=technology,"go java javascript python saltstack shell"
townsquared,https://townsquared.com/blog/engineering/,townsquared,https://townsquared.com/join-our-team/,"css javascript ruby"
turn,http://www.turn.com/engineering,turn,http://www.turn.com/company/careers,"go java javascript r"
shopify,https://engineering.shopify.com/,shopify,https://www.shopify.com/careers,"c go javascript liquid objective-c ruby"
appaloosa,https://medium.com/appaloosa-store-engineering,appaloosa-store,https://www.appaloosa-store.com/about-us,"go java javascript objective-c ruby shell"
smallimprovements,https://tech.small-improvements.com,smallimprovements,https://www.small-improvements.com/careers,"css groovy html java javascript ruby shell"
datorama,https://engineering.datorama.com/,datorama,http://datorama.com/join-us/,"java javascript perl python"
mixmax,https://mixmax.com/blog/tag/engineering,mixmaxhq,https://mixmax.com/careers/,"css html javascript"
schibsted,http://bytes.schibsted.com/category/software-engineering/,schibsted,http://jobs.schibsted.com/engineering-areas/#engineering,"clojure go html java javascript objective-c php python shell"
auth0,https://auth0.engineering/,auth0,https://auth0.com/jobs,"c# java javascript typescript"
ngpvan,https://blog.ngpvan.com/engineering,ngpvan,https://www.ngpvan.com/careers,"c# html java javascript python ruby shell"
"dia & co",https://making.dia.com/,diaandco,https://www.dia.co/careers,"python ruby"
dailymotion,http://engineering.dailymotion.com/,dailymotion,http://jobs.dailymotion.com/en/offers#departments=1,"c coffeescript go html java javascript objective-c python"
infinityworks,http://engineering.infinityworks.com/,infinityworksltd,https://www.infinityworks.com/careers.html,"css go java javascript makefile python shell typescript"
formlabs,https://engineering.formlabs.com,formlabs,https://formlabs.com/company/careers/,"c c++ gettext catalog javascript python shell"
bitnami,https://engineering.bitnami.com,bitnami,https://jobs.lever.co/bitnami,"javascript shell"
collaborne,https://medium.com/collaborne-engineering,collaborne,http://www.collaborne.com/careers/,"html java"
"job and talent",https://jobandtalent.engineering/,jobandtalent,https://www.jobandtalent.com/us/careers#positions,"go java javascript jupyter notebook objective-c scala"
talis,https://engineering.talis.com/,talis,https://talis-group-limited.workable.com/,"css go html javascript php ruby shell"
haus,https://engineering.haus.com/,haus-inc,https://haus.com/jobs,"javascript ruby shell"
lumosity,http://engineering.lumosity.com/,lumoslabs,https://jobs.lever.co/lumosity?by=team,"c++ java javascript ruby scala shell"
nodesagency,https://engineering.nodesagency.com/,nodesagency,https://www.nodesagency.com/careers/,"css javascript php"
"telefonica id",https://engineering.telefonica.com/,telefonicaid,https://jobs.telefonica.com/,"java javascript python"
openx,http://codinginadtech.com/,openx,http://openx.com/open-positions/,"c++ elixir erlang java javascript php python"
semaphoreci,http://semaphoreci.com/blog/tags/engineering.html,renderedtext,http://renderedtext.com/jobs/,"css elixir ruby viml"
dotabuff,https://medium.com/dotabuff-engineering,dotabuff,https://dotabuff.workable.com/,"go lua makefile protocol buffer ruby"
ezhome,https://engineering.ezhome.com/,ezhome,https://www.ezhome.com/careers/positions/,"java javascript"
tripadvisor,http://engineering.tripadvisor.com/,tripadvisor,https://www.tripadvisor.com/careers/search-jobs?job_category=7,"c++ java javascript objective-c plpgsql perl python"
altmetric,https://altmetric.engineering/,altmetric,https://www.altmetric.com/jobs/,"coffeescript go javascript php r ruby"
tinder,http://tech.gotinder.com/,tinder,https://www.gotinder.com/jobs,"javascript"
wobe,https://eng.wobe.io/,wobe-pte-ltd,https://wobe.io/join/,"java javascript"
brigade,https://brigade.engineering/,brigade,https://jobs.lever.co/brigade?by=team,"javascript ruby shell"
discord,https://discord.engineering/,hammerandchisel,https://discordapp.com/company,"c++ elixir java javascript objective-c python"
kickstarter,https://kickstarter.engineering/,kickstarter,https://www.kickstarter.com/jobs#job-openings,"java javascript ruby shell swift"
randrr,http://engineering.randrr.com/,randrr,http://www.randrr.com/contact,"go javascript python shell"
vimeo,https://medium.com/vimeo-engineering-blog,vimeo,https://vimeo.com/jobs,"c go java javascript objective-c php python swift"
skyscanner,http://codevoyagers.com/,skyscanner,http://www.skyscanner.net/jobs/productengineering/,"css javascript php python swift"
driftrock,http://tech.driftrock.com/,driftrock,https://www.driftrock.com/careers,"javascript ruby"
textnow,https://engineering.textnow.com/,enflick,http://about.textnow.com/careers/#openings,"c javascript makefile objective-c php python ruby"
currencyfair,http://tech.currencyfair.com/,currencyfair,https://my.hirehive.io/currencyfair,"css java php"
nest,https://nest.tech,nestlabs,https://nest.com/careers/?department=Engineering,"java javascript objective-c ruby scala"
wheniwork,https://wheniwork.engineering/,wheniwork,http://careers.wheniwork.com/,"go html javascript php ruby"
redbubble,http://artplustech.com/,redbubble,https://careers.redbubble.com/jobs,"elixir javascript makefile ruby scala"
"verizon digital media",https://eng.verizondigitalmedia.com/,verizondigital,https://careers.smartrecruiters.com/Aol/verizon-digital-media-services,"c c++ clojure go python"
freeletics,http://freeletics.engineering/,freeletics,https://www.freeletics.com/en/corporate/jobs#engineering,"c coffeescript hcl java javascript objective-c ruby swift"
smartling,https://tech.smartling.com/,smartling,https://www.smartling.com/about/careers/,"css hcl java javascript objective-c php python ruby"
duolingo,http://making.duolingo.com/,duolingo,https://www.duolingo.com/jobs,"java javascript objective-c python"
weebly,https://engineering.weebly.com/,weebly,https://careers.weebly.com/,"javascript objective-c php perl ruby swift"
cars,https://tech.cars.com/,carsdotcom,https://www.cars.com/careers/,"arduino css go java javascript scala shell"
carwow,https://medium.com/carwow-product-engineering,carwow,https://www.carwow.co.uk/jobs,"javascript ruby shell"
hipages,https://medium.com/hipages-engineering,hipages,https://hipagesgroup.com.au/careers/,"javascript shell"
growella,https://engineering.growella.com/,growella,https://twitter.com/GrowellaEng,"javascript php shell"
wantedly,https://gb.wantedly.com/feed/s/wantedly_engineers,wantedly,https://gb.wantedly.com/companies/wantedly/projects,"c++ go objective-c ruby swift"
capriza,https://medium.com/capriza-engineering,capriza,https://www.capriza.com/careers,"c++ javascript"
fromAtoB,https://eng.fromatob.com/,fromAtoB,https://fromatob.workable.com/,"html javascript ruby rust"
signavio,https://tech.signavio.com/,signavio,https://www.signavio.com/jobs/,"css java javascript"
pusher,https://making.pusher.com/,pusher,https://pusher.com/jobs,"c c# go html java javascript php ruby swift"
channable,https://tech.channable.com/,channable,https://channable.com/company/jobs/,"javascript python scala"
yikyak,https://medium.com/yik-yak-eng,yikyakapp,https://www.yikyak.com/jobs,"c++ go"
solutotlv,https://blog.solutotlv.com/soluto,soluto,https://www.solutotlv.com/join-soluto-engineering,"c# javascript objective-c perl ruby shell"
talkdesk,https://engineering.talkdesk.com/,talkdesk,https://www.talkdesk.com/jobs/engineering/,"coffeescript elixir erlang ruby shell"
fundapps,https://gsd.fundapps.io/,fundapps,https://www.fundapps.co/about-us/join-our-team,"go html javascript ruby"
tes,http://engineering.tes.com/,tes,"","javascript lua php python typescript"
hubba,https://medium.com/@HubbaDev/,hubba,https://hq.hubba.com/careers/,"javascript"
smartrecruiters,https://up.smartrecruiters.com/,smartrecruiters,https://www.smartrecruiters.com/about-us/careers/,"c++ java javascript"
travix,https://travix.io/,travix-international,https://www.travix.com/jobs/it/,"c# html javascript saltstack shell"
patreon,https://patreonhq.com/tagged/patreon-engineering,patreon,https://www.patreon.com/careers#/positions,"c++ java javascript objective-c php python ruby shell"
flexport,https://flexport.engineering/,flexport,https://www.flexport.com/careers,"javascript ruby"
coinbase,https://engineering.coinbase.com/,coinbase,https://www.coinbase.com/careers,"ruby,javascript,php,java,objective-c"
algolia,https://stories.algolia.com/,algolia,https://www.algolia.com/careers,"css java javascript php ruby"
lovoo,https://tech.lovoo.com/,lovoo,https://inside.lovoo.com/jobs/,"go java kotlin objective-c php python"
autotrader,http://engineering.autotrader.co.uk/,autotraderuk,https://careers.autotrader.co.uk/,"java javascript python ruby typescript"
snagajob,https://engineering.snagajob.com/,snagajob,http://www.snagajob.com/about/positions/35900,"c# coffeescript java python roff swift"
helpscout,https://engineering.helpscout.com/,helpscout,https://www.helpscout.net/company/careers/,"css javascript php ruby"
crowdfire,https://crowdfire.engineering/,codigami,https://www.crowdfireapp.com/careers,"go java objective-c python swift"
pagerduty,https://engineering.pagerduty.com/,pagerduty,https://www.pagerduty.com/careers/,"elixir go html javascript perl python ruby scala"
paxos,https://eng.paxos.com/,paxos-bankchain,https://www.paxos.com/careers#jobs,"go javascript python"
simacan,http://nerds.simacan.com,simacan,https://www.simacan.com/about/,"java javascript python scala shell"
drivy,https://drivy.engineering/,drivy,https://www.drivy.com/jobs,"java javascript ruby shell"
handshake,https://joinhandshake.com/engineering-blog/,strydercorp,https://joinhandshake.com/careers/,""
redfin,https://redfin.engineering/,redfin,https://www.redfin.com/about/jobs/departments/engineering,"" 
